affects	1022
result_of	586
isa	500
interacts_with	451
process_of	437
causes	360
location_of	319
produces	276
issue_in	268
complicates	263
associated_with	239
part_of	200
manifestation_of	194
measures	180
disrupts	154
performs	90
occurs_in	90
precedes	73
co-occurs_with	67
uses	65
assesses_effect_of	65
measurement_of	64
evaluation_of	63
treats	56
analyzes	52
diagnoses	48
exhibits	45
property_of	44
carries_out	38
degree_of	34
prevents	32
ingredient_of	28
indicates	27
method_of	25
conceptual_part_of	18
contains	11
consists_of	9
surrounds	8
adjacent_to	7
manages	6
developmental_form_of	4
connected_to	4
practices	2
interconnects	2
conceptually_related_to	2
derivative_of	1
