affects	803
result_of	455
isa	399
process_of	369
interacts_with	363
causes	283
location_of	244
issue_in	223
produces	221
complicates	219
associated_with	198
part_of	157
manifestation_of	153
measures	145
disrupts	127
performs	73
occurs_in	71
precedes	57
evaluation_of	56
uses	55
assesses_effect_of	51
measurement_of	49
co-occurs_with	48
treats	42
analyzes	38
property_of	35
diagnoses	34
exhibits	33
carries_out	30
degree_of	27
prevents	25
indicates	23
ingredient_of	22
method_of	20
conceptual_part_of	15
contains	11
consists_of	9
surrounds	6
manages	6
adjacent_to	6
developmental_form_of	4
connected_to	4
practices	2
interconnects	2
conceptually_related_to	2
derivative_of	1
