isAffiliatedTo	377144
playsFor	324049
isLocatedIn	89521
hasGender	66771
wasBornIn	45411
actedIn	32479
isConnectedTo	32338
hasWonPrize	24279
influences	10801
diedIn	9340
hasMusicalRole	7827
graduatedFrom	7432
created	7006
wroteMusicFor	6102
directed	5530
participatedIn	5190
hasChild	5111
happenedIn	5099
isMarriedTo	3795
isCitizenOf	3482
worksAt	3419
edited	3114
livesIn	3011
hasCapital	2589
isPoliticianOf	2186
dealsWith	1320
isLeaderOf	966
hasAcademicAdvisor	921
owns	733
hasNeighbor	558
imports	394
exports	381
hasOfficialLanguage	300
isInterestedIn	243
hasCurrency	110
hasWebsite	69
isKnownFor	19
