isAffiliatedTo	373783
playsFor	321024
isLocatedIn	88672
hasGender	66163
wasBornIn	44978
actedIn	32155
isConnectedTo	32055
hasWonPrize	24068
influences	10710
diedIn	9248
hasMusicalRole	7754
graduatedFrom	7348
created	6933
wroteMusicFor	6047
directed	5481
participatedIn	5150
hasChild	5064
happenedIn	5056
isMarriedTo	3757
isCitizenOf	3455
worksAt	3389
edited	3083
livesIn	2980
hasCapital	2566
isPoliticianOf	2163
dealsWith	1302
isLeaderOf	957
hasAcademicAdvisor	914
owns	726
hasNeighbor	555
imports	393
exports	378
hasOfficialLanguage	298
isInterestedIn	239
hasCurrency	109
hasWebsite	68
isKnownFor	19
